channel_name,event_date,ihc,cost,revenue,CPO,ROAS
Affiliate & Partnerships,2023-08-29,6.9999999999999725,365.64499999999947,14129.730000000029,52.23500000000013,38.64330156299156
Affiliate & Partnerships,2023-08-30,1.0,15.024,415.2,15.024,27.635782747603834
Affiliate & Partnerships,2023-08-31,2.000000000000001,137.664,2778.51,68.83199999999997,20.183272315202235
Affiliate & Partnerships,2023-09-01,19.99999999999997,294.7709999999998,7465.049999999992,14.73855000000001,25.32491323773369
Affiliate & Partnerships,2023-09-02,12.999999999999984,437.92500000000024,7099.829999999997,33.68653846153852,16.21243363589654
Affiliate & Partnerships,2023-09-03,16.99999999999999,168.56199999999987,4312.3799999999965,9.915411764705881,25.58334618715962
Affiliate & Partnerships,2023-09-04,19.999999999999982,111.08099999999993,6107.02,5.554050000000002,54.97807905942514
Affiliate & Partnerships,2023-09-05,12.999999999999991,83.86599999999994,4622.0300000000025,6.4512307692307695,55.11208356187258
Affiliate & Partnerships,2023-09-06,24.999999999999968,93.16799999999999,5168.73,3.7267200000000043,55.47752447192169
Direct Traffic,2023-08-29,39.99999999999996,0.0,15091.500000000005,0.0,inf
Direct Traffic,2023-08-30,43.0,0.0,16863.979999999992,0.0,inf
Direct Traffic,2023-08-31,46.99999999999997,0.0,14164.069999999989,0.0,inf
Direct Traffic,2023-09-01,122.00000000000009,0.0,22422.77000000003,0.0,inf
Direct Traffic,2023-09-02,150.9999999999998,0.0,33871.780000000006,0.0,inf
Direct Traffic,2023-09-03,168.9999999999999,0.0,25362.560000000045,0.0,inf
Direct Traffic,2023-09-04,180.99999999999963,0.0,33477.45999999995,0.0,inf
Direct Traffic,2023-09-05,145.00000000000006,0.084,26822.749999999975,0.0005793103448275861,319318.4523809521
Direct Traffic,2023-09-06,122.00000000000009,0.0,16705.629999999972,0.0,inf
FB & IG Ads,2023-08-29,5.0,45.06100000000001,846.21,9.012200000000002,18.779210403675016
FB & IG Ads,2023-08-30,1.0,13.396,311.92,13.396,23.284562555986863
FB & IG Ads,2023-08-31,4.999999999999999,37.678,162.55000000000004,7.5356000000000005,4.3141886512022944
FB & IG Ads,2023-09-01,40.0,129.76400000000004,3422.0300000000007,3.244100000000001,26.371181529545943
FB & IG Ads,2023-09-02,38.999999999999964,195.8269999999998,3706.820000000002,5.0212051282051275,18.929054726876302
FB & IG Ads,2023-09-03,45.00000000000002,208.8349999999999,2732.43,4.640777777777774,13.084157349103364
FB & IG Ads,2023-09-04,39.00000000000005,203.45200000000008,2381.7899999999977,5.216717948717944,11.706889094233514
FB & IG Ads,2023-09-05,25.0,116.89700000000005,1310.0199999999998,4.675880000000002,11.206617791731176
FB & IG Ads,2023-09-06,31.00000000000001,153.98299999999992,1444.1600000000003,4.967193548387092,9.378697648441719
Microsoft Ads,2023-08-31,0.9999999999999999,0.26,90.72,0.26000000000000006,348.9230769230769
Microsoft Ads,2023-09-02,7.0,4.986,690.8100000000002,0.7122857142857143,138.54993983152832
Microsoft Ads,2023-09-03,1.0,0.517,118.33,0.517,228.87814313346226
Microsoft Ads,2023-09-04,7.0,7.205000000000001,884.97,1.0292857142857144,122.82720333102012
Microsoft Ads,2023-09-05,4.0,5.811999999999999,216.32999999999998,1.4529999999999998,37.22126634549209
Microsoft Ads,2023-09-06,1.0,0.16,258.8,0.16,1617.5
Newsletter & Email,2023-08-29,18.99999999999997,0.0,25530.690000000075,0.0,inf
Newsletter & Email,2023-08-30,4.999999999999999,0.0,2158.07,0.0,inf
Newsletter & Email,2023-08-31,77.99999999999996,0.0,27654.300000000014,0.0,inf
Newsletter & Email,2023-09-01,95.0,0.0,31756.519999999957,0.0,inf
Newsletter & Email,2023-09-02,82.99999999999994,0.0,23642.57999999999,0.0,inf
Newsletter & Email,2023-09-03,91.99999999999999,0.0,18386.519999999982,0.0,inf
Newsletter & Email,2023-09-04,264.9999999999994,0.0,48285.20000000006,0.0,inf
Newsletter & Email,2023-09-05,57.000000000000014,0.0,9113.759999999997,0.0,inf
Newsletter & Email,2023-09-06,50.00000000000001,0.0,8922.98999999998,0.0,inf
Organic Traffic,2023-08-29,3.9999999999999996,0.0,852.9300000000002,0.0,inf
Organic Traffic,2023-08-30,10.00000000000001,0.0,8042.600000000001,0.0,inf
Organic Traffic,2023-08-31,14.999999999999984,0.0,4240.060000000001,0.0,inf
Organic Traffic,2023-09-01,33.00000000000001,0.0,5528.119999999997,0.0,inf
Organic Traffic,2023-09-02,38.0,0.0,4962.370000000003,0.0,inf
Organic Traffic,2023-09-03,50.000000000000014,0.0,7983.529999999992,0.0,inf
Organic Traffic,2023-09-04,49.99999999999998,1.629,11079.079999999993,0.03258000000000001,6801.1540822590505
Organic Traffic,2023-09-05,59.00000000000007,0.0,8046.52999999999,0.0,inf
Organic Traffic,2023-09-06,45.99999999999997,0.0,5745.459999999999,0.0,inf
Paid Search Brand,2023-08-29,11.000000000000002,29.078,3172.95,2.643454545454545,109.11857761881835
Paid Search Brand,2023-08-30,12.000000000000005,44.27699999999997,8274.19000000001,3.689749999999996,186.87332023398187
Paid Search Brand,2023-08-31,19.999999999999996,39.97000000000002,9666.400000000003,1.9985000000000013,241.8413810357768
Paid Search Brand,2023-09-01,63.0,110.83099999999996,13761.480000000005,1.7592222222222216,124.16634335158945
Paid Search Brand,2023-09-02,53.0,90.7669999999999,12338.529999999995,1.7125849056603755,135.93629843445316
Paid Search Brand,2023-09-03,90.00000000000006,134.83799999999974,18004.39,1.4981999999999962,133.52608315163405
Paid Search Brand,2023-09-04,84.99999999999997,134.707,16737.109999999993,1.584788235294118,124.24825732886929
Paid Search Brand,2023-09-05,43.00000000000001,79.973,8614.020000000002,1.8598372093023252,107.71160266589978
Paid Search Brand,2023-09-06,50.00000000000002,98.97399999999998,10577.01000000001,1.9794799999999986,106.8665508113243
Paid Search Non Brand,2023-08-29,4.0,74.33299999999998,3324.64,18.583249999999996,44.72629922107275
Paid Search Non Brand,2023-08-30,0.9999999999999999,2.532,104.16,2.5320000000000005,41.137440758293835
Paid Search Non Brand,2023-08-31,3.0000000000000004,28.814000000000004,2189.0399999999995,9.604666666666667,75.97140279031024
Paid Search Non Brand,2023-09-01,7.0,32.408,1182.6099999999997,4.629714285714286,36.49129844482842
