channel_name,event_date,ihc,cost,revenue,CPO,ROAS
Social Organic,2023-09-01,3.0,0.0,101.93,0.0,inf
Social Organic,2023-09-02,6.000000000000001,0.0,1103.1900000000003,0.0,inf
Social Organic,2023-09-03,2.0,0.0,199.56,0.0,inf
Social Organic,2023-09-04,7.000000000000002,0.0,1100.7500000000005,0.0,inf
Social Organic,2023-09-05,4.0,0.0,240.30999999999995,0.0,inf
Social Organic,2023-09-06,3.0,0.0,225.96,0.0,inf
Social Organic,2023-09-07,7.0,0.0,853.4100000000001,0.0,inf
TikTok Ads,2023-09-01,3.0,12.633000000000001,39.96,4.211,3.163144146283543
TikTok Ads,2023-09-02,1.0,2.641,18.33,2.641,6.940552820901173
TikTok Ads,2023-09-03,4.0,14.781,64.29999999999998,3.69525,4.350179284216222
TikTok Ads,2023-09-05,2.0,6.396,17.490000000000002,3.198,2.734521575984991
TikTok Ads,2023-09-06,2.0,6.993,71.9,3.4965,10.281710281710282
Untracked Conversions,2023-08-29,1.0,0.0,190.92,0.0,inf
Untracked Conversions,2023-09-01,9.0,0.0,718.59,0.0,inf
Untracked Conversions,2023-09-02,3.0,0.0,105.53,0.0,inf
Untracked Conversions,2023-09-03,10.0,0.0,747.9100000000001,0.0,inf
Untracked Conversions,2023-09-04,12.0,0.0,857.3000000000001,0.0,inf
Untracked Conversions,2023-09-05,3.0,0.0,555.2399999999999,0.0,inf
Untracked Conversions,2023-09-06,7.0,0.0,419.78000000000003,0.0,inf
Untracked Conversions,2023-09-07,10.0,0.0,818.1500000000001,0.0,inf
